Date,50,Auto,Bank,CnsrDur,FinSer,FMCG,Healthcare,IT,Media,Metal,Oil&Gas,Pharma,Realty
2019-08-02,10997.35,6933.75,28204.95,14267.26,12500.5,28930.75,4607.26,15422.1,1870.65,2459.1,4486.45,7868.2,262.6
2019-08-05,10862.6,6844.6,27648.05,14072.38,12329.55,28777.55,4576.69,15518.55,1807.5,2415.35,4387.46,7807.95,257.9
2019-08-06,10948.25,6942.45,28022.1,14306.09,12521.35,28847.35,4592.21,15514.8,1786.1,2448.05,4382.02,7818.5,262.45
2019-08-07,10855.5,6792.6,27702.05,14239.55,12411.65,28814.55,4619.44,15583.35,1819.9,2389.45,4314.32,7879.75,258.7
2019-08-08,11032.45,6998.45,28110.45,14390.18,12581.2,29131.8,4666.09,15867.95,1845.5,2418.8,4406.71,7964.8,263.5
2019-08-09,11109.65,7137.4,28431.9,14563.0,12774.85,29302.2,4656.46,15821.35,1832.75,2398.0,4421.02,7924.05,265.65
2019-08-13,10925.85,6855.75,27729.1,14517.11,12394.0,28728.5,4612.79,15424.4,1811.55,2355.9,4528.02,7851.95,263.0
2019-08-14,11029.4,6919.05,28019.2,14586.54,12509.6,28839.6,4574.23,15466.25,1861.5,2411.05,4579.23,7744.3,264.35
2019-08-16,11047.8,6998.45,28217.0,14491.0,12543.7,28889.95,4561.06,15365.35,1859.1,2402.05,4577.13,7684.3,265.1
2019-08-19,11053.9,6959.15,28186.1,14708.99,12532.4,28837.5,4588.48,15415.15,1871.4,2391.35,4566.37,7741.35,266.75
2019-08-20,11017.0,7040.5,27982.45,14802.74,12450.4,28669.85,4589.54,15597.75,1866.05,2351.15,4527.8,7749.7,263.8
2019-08-21,10918.7,7001.85,27719.05,14543.63,12356.45,28399.1,4547.11,15578.15,1839.05,2283.2,4456.28,7677.25,258.55
2019-08-22,10741.35,6882.1,27034.2,14491.82,12049.9,28396.15,4542.81,15632.0,1782.4,2203.6,4349.62,7670.85,242.6
2019-08-23,10829.35,6988.35,26958.65,14532.65,12080.3,28257.1,4593.2,15816.6,1856.9,2278.65,4477.84,7780.55,244.55
2019-08-26,11057.85,7022.75,27951.35,14727.37,12563.65,28707.8,4621.29,15890.2,1922.85,2256.65,4525.86,7824.3,253.7
2019-08-27,11105.35,7152.95,28126.15,14920.29,12646.35,28927.25,4620.4,15675.3,1919.35,2303.9,4591.0,7812.1,256.6
2019-08-28,11046.1,7018.55,27804.3,14858.05,12575.25,28815.0,4586.09,15879.9,1921.3,2226.45,4554.22,7738.65,262.7
2019-08-29,10948.3,6970.15,27305.2,14833.63,12341.1,28751.8,4666.07,15884.55,1892.15,2254.35,4543.07,7912.5,263.8
2019-08-30,11023.25,7009.3,27427.85,15001.66,12418.15,29257.35,4750.14,16010.4,1914.65,2289.95,4546.24,8072.05,267.2
2019-09-03,10797.9,6897.75,26824.15,14646.98,12134.95,28766.9,4707.36,15984.85,1865.0,2218.95,4426.52,7976.45,261.15
2019-09-04,10844.65,6782.05,27123.85,14444.82,12260.35,28725.65,4701.91,16032.5,1853.85,2254.65,4452.79,7967.65,260.7
2019-09-05,10847.9,6921.75,26919.7,14561.29,12122.75,28710.0,4757.29,16030.95,1883.35,2313.6,4538.48,8071.75,256.0
2019-09-06,10946.2,7102.45,27247.9,14754.72,12235.9,28649.75,4759.07,16034.55,1905.85,2357.7,4585.46,8068.75,254.3
2019-09-09,11003.05,7165.35,27504.65,14868.84,12341.9,28845.65,4766.32,15919.4,1912.05,2360.05,4602.36,8077.9,256.0
2019-09-11,11035.7,7423.6,27776.2,14956.87,12382.1,28759.35,4771.11,15701.8,1911.5,2414.55,4601.09,8082.9,266.6
2019-09-12,10982.8,7284.0,27818.5,14902.29,12422.25,28575.2,4773.85,15583.25,1902.7,2410.6,4550.27,8102.15,264.25
2019-09-13,11075.9,7360.6,28098.75,15120.03,12513.0,28592.05,4743.41,15722.9,1917.0,2444.1,4659.03,8033.05,268.1
2019-09-16,11003.5,7300.65,27855.0,15259.08,12397.7,28751.75,4757.21,15743.15,1922.45,2440.55,4593.36,8070.65,265.55
2019-09-17,10817.6,7020.75,27131.75,15169.59,12111.05,28675.3,4680.45,15625.65,1876.15,2375.85,4530.93,7933.85,255.65
2019-09-18,10840.65,7012.1,27172.65,15229.18,12116.2,28752.15,4688.02,15702.3,1867.95,2402.65,4570.06,7923.45,259.4
2019-09-19,10704.8,6920.6,26757.65,15086.7,12001.25,28575.6,4623.0,15522.45,1785.65,2363.45,4480.35,7799.6,255.4
2019-09-20,11274.2,7605.85,28981.55,16246.55,12859.85,29835.35,4729.06,15491.05,1845.85,2497.65,4746.54,7983.55,265.3
2019-09-23,11600.2,7802.65,30566.2,16781.25,13560.25,31120.1,4674.92,15040.65,1858.95,2526.2,4857.26,7857.25,272.8
2019-09-24,11588.2,7773.25,30183.1,16779.63,13398.35,31312.4,4688.73,15338.65,1862.8,2485.1,4888.38,7891.95,269.2
2019-09-25,11440.2,7470.45,29586.05,16455.82,13141.3,30925.95,4626.99,15379.9,1826.2,2419.75,4877.54,7789.7,260.95
2019-09-26,11571.2,7659.75,30002.6,16593.98,13288.25,31027.7,4656.06,15312.9,1870.95,2520.45,4985.66,7857.3,267.8
2019-09-27,11512.4,7554.25,29876.65,16600.38,13282.65,31026.0,4577.97,15236.4,1838.4,2453.95,4957.83,7695.3,261.7
2019-09-30,11474.45,7493.15,29103.15,16463.1,13017.3,31134.5,4501.91,15540.15,1800.0,2439.85,4993.74,7547.75,258.75
2019-10-01,11359.9,7464.1,28725.5,16435.5,12995.5,30801.35,4454.96,15300.25,1722.15,2397.05,4970.5,7466.45,248.1
2019-10-03,11314.0,7493.75,28414.1,16433.55,12847.75,30791.0,4448.25,15277.95,1771.3,2326.55,5042.6,7461.75,251.2
2019-10-04,11174.75,7404.9,27731.85,16101.34,12593.25,30327.15,4425.58,15340.3,1707.85,2297.2,5015.68,7396.9,248.15
2019-10-07,11126.4,7355.45,27767.55,16185.44,12589.15,30218.1,4311.01,15246.75,1729.6,2269.95,4946.47,7148.95,245.25
2019-10-09,11313.3,7460.75,28785.85,16229.18,12970.45,30269.15,4356.76,15128.75,1734.7,2317.7,4990.28,7235.6,250.25
2019-10-10,11234.55,7359.65,28013.45,16176.09,12721.8,30147.2,4354.78,15093.8,1712.35,2283.35,5022.15,7235.6,244.95
2019-10-11,11305.05,7397.05,28042.5,16228.45,12769.35,30416.2,4380.05,15321.9,1707.25,2337.1,5000.01,7278.45,247.3
2019-10-14,11341.15,7520.35,28181.95,16217.49,12791.2,30591.0,4425.9,15277.75,1718.25,2360.2,5055.85,7361.7,252.05
2019-10-15,11428.3,7688.25,28555.1,16344.44,12904.6,30927.9,4463.52,15208.4,1740.8,2397.05,5097.32,7420.65,253.7
2019-10-16,11464.0,7673.8,28538.8,16391.02,12978.4,30899.0,4484.51,15344.9,1752.25,2388.3,5148.95,7475.35,256.35
2019-10-17,11586.35,7914.0,28989.45,16559.68,13144.75,31331.9,4522.59,15281.9,1780.7,2410.95,5191.32,7533.45,257.85
2019-10-18,11661.85,7964.75,29120.25,16800.42,13213.45,31501.45,4565.22,15410.1,1762.8,2456.0,5249.07,7608.15,262.8
2019-10-22,11588.35,7936.65,29411.15,16945.85,13344.45,31659.4,4633.18,14688.65,1757.1,2442.85,5274.31,7746.15,263.85
2019-10-23,11604.1,8036.6,29459.6,17029.46,13398.65,31899.55,4640.54,14833.35,1735.1,2436.85,5199.12,7761.85,261.55
2019-10-24,11582.6,8012.4,29107.95,17108.06,13334.3,31752.8,4646.54,14781.5,1724.15,2419.55,5208.15,7728.15,263.95
2019-10-25,11583.9,7986.35,29395.95,16853.31,13346.8,31685.6,4654.51,14898.85,1732.35,2410.85,5220.01,7736.55,264.9
2019-10-27,11627.15,8102.0,29516.3,16863.43,13395.4,31803.45,4671.78,14956.4,1744.15,2421.95,5239.15,7743.55,265.0
2019-10-29,11786.85,8449.75,29873.05,16961.23,13516.35,31950.75,4711.96,15181.4,1738.9,2518.3,5314.13,7824.6,267.3
2019-10-30,11844.1,8428.9,29987.5,16935.88,13539.8,32274.1,4712.31,15395.65,1728.9,2514.25,5379.35,7819.35,265.85
2019-10-31,11877.45,8449.5,30066.25,17041.32,13516.45,32319.75,4762.16,15559.4,1786.8,2500.75,5393.62,7878.15,269.0
2019-11-01,11890.6,8392.9,30330.55,16829.93,13585.3,32449.85,4799.87,15471.2,1924.85,2561.75,5360.44,7949.45,271.15
2019-11-04,11941.3,8280.35,30333.1,16805.08,13671.1,32255.7,4801.98,15591.3,1865.95,2642.15,5371.17,7966.85,269.6
2019-11-05,11917.2,8256.15,30219.85,16608.87,13669.4,32361.45,4753.05,15533.45,1839.0,2616.95,5330.21,7879.55,267.7
2019-11-06,11966.05,8258.85,30609.6,16007.63,13828.45,32393.0,4774.58,15561.3,1832.8,2633.45,5315.02,7926.35,274.05
2019-11-07,12012.05,8239.9,30633.15,16154.6,13894.9,32535.9,4808.73,15624.4,1839.2,2659.05,5296.71,7966.0,276.45
2019-11-08,11908.15,8169.65,30749.4,16130.1,13868.65,31947.5,4723.57,15383.3,1825.85,2612.95,5217.89,7787.4,281.05
2019-11-11,11913.45,8159.0,31115.55,16097.96,13969.1,31802.55,4728.59,15308.55,1878.9,2610.1,5242.32,7784.9,283.4
2019-11-13,11840.45,8150.2,30541.55,16056.78,13806.4,31582.45,4664.06,15240.95,1793.85,2556.65,5247.18,7660.45,278.3
2019-11-14,11872.1,8190.9,30749.95,16174.75,13947.35,31439.45,4640.17,15388.75,1791.95,2506.6,5235.08,7591.45,277.65
2019-11-15,11895.45,8153.9,31008.4,16194.55,14021.0,31289.7,4681.21,15310.6,1801.0,2498.8,5221.57,7720.6,276.95
